31.98	38.87
26.44	27.29
39.11	44.23
30.05	35.46
1.87	3.30
49.72	41.55
39.25	2.79
45.30	4.59
24.94	11.06
45.15	12.12
24.24	21.06
47.09	39.41
23.46	30.45
25.64	7.93
38.07	1.52
20.02	34.67
9.05	47.59
33.52	5.52
21.05	34.04
31.25	5.37
23.80	43.88
2.07	44.07
8.38	26.51
48.23	48.34
12.97	47.84
13.10	35.93
22.02	4.57
36.51	22.45
33.90	20.74
43.19	33.49
28.21	47.34
42.12	11.02
2.54	48.34
23.73	14.81
10.31	26.73
8.04	41.43
5.76	47.62
24.17	6.37
36.96	11.16
14.16	24.15
18.64	29.64
1.22	22.54
39.46	8.24
32.30	10.28
45.48	49.10
8.86	6.76
35.83	50.00
48.94	0.87
35.00	0.79
30.60	45.40
28.06	3.14
34.42	5.74
47.03	37.62
10.26	24.21
37.64	47.49
39.93	17.98
31.54	42.67
33.25	42.76
39.87	14.67
36.89	13.06
43.97	17.18
8.25	2.19
49.87	5.00
34.77	38.14
39.01	22.47
36.48	37.16
46.62	31.48
6.84	7.98
45.80	42.50
25.71	40.44
10.02	18.23
30.73	48.57
4.30	46.11
49.61	27.85
19.23	41.15
37.55	13.42
5.75	24.58
12.76	38.93
18.40	33.34
24.96	10.69
37.68	1.48
11.43	20.20
22.90	11.85
45.19	12.11
35.97	43.34
23.66	19.61
39.03	40.83
36.35	18.34
15.31	3.36
48.23	0.54
42.70	49.63
32.83	45.63
28.00	16.38
44.23	22.67
38.52	34.68
26.45	33.16
19.29	3.97
31.68	4.84
0.27	13.90
21.44	24.24
0.57	41.43
35.95	34.40
1.38	14.57
21.09	24.44
7.83	17.20
28.40	4.53
6.29	24.00
3.86	33.22
28.74	11.94
36.74	40.60
46.07	21.32
30.26	8.29
37.04	30.95
34.76	42.03
30.38	17.51
37.68	34.40
19.26	37.36
27.94	19.54
49.37	18.65
11.29	30.21
6.79	49.52
19.87	20.44
34.77	33.06
44.59	30.19
42.40	7.55
4.62	20.54
33.49	1.92
9.20	18.44
43.02	28.31
32.04	15.68
34.31	39.55
38.22	27.71
46.25	13.66
47.55	34.29
5.00	31.01
1.71	15.68
17.09	31.69
30.27	14.53
6.44	7.07
47.46	14.63
10.10	24.83
3.02	7.18
38.06	32.22
19.76	24.55
5.97	41.24
41.09	40.03
9.01	18.97
22.68	23.75
26.68	44.51
29.69	48.74
0.65	4.53
3.01	16.38
9.42	44.57
43.94	45.08
24.82	47.77
23.14	20.40
6.94	13.21
35.54	10.43
41.60	14.23
24.70	0.89
10.06	22.97
25.27	2.58
44.57	7.05
21.26	35.94
42.44	9.66
0.98	20.84
47.83	36.56
9.58	13.97
40.36	33.96
26.13	45.45
31.65	15.42
1.51	6.64
7.31	25.51
42.06	31.18
12.29	33.17
17.78	32.13
34.52	30.46
37.11	6.15
32.15	49.68
4.37	15.43
40.69	10.15
26.56	16.40
46.46	8.38
13.78	21.35
7.66	23.28
26.64	7.45
13.49	7.13
47.26	4.37
6.14	20.19
35.74	8.66
10.59	0.02
13.34	10.08
23.91	22.99
19.51	29.30
7.22	5.45
44.20	41.23
35.03	42.53
24.06	39.65
23.04	17.31
21.25	37.00
18.90	5.49
17.42	33.15
40.92	16.78
48.56	35.13
43.26	12.17
30.99	43.43
44.47	41.40
14.58	18.67
28.38	14.10
25.80	0.78
49.03	47.11
19.37	4.08
41.57	1.83
8.17	15.81
31.39	22.63
32.72	25.26
11.56	48.57
34.90	20.27
34.21	49.75
0.98	25.50
43.47	42.42
21.87	13.21
49.76	36.84
21.68	47.33
15.12	7.88
22.70	22.64
36.17	34.36
23.00	46.84
0.51	21.52
16.24	16.20
16.96	2.91
3.28	35.64
45.30	23.32
46.88	7.08
31.35	42.01
6.81	24.50
30.88	42.38
43.63	28.89
8.37	38.55
44.96	33.64
26.86	28.29
0.44	15.45
28.89	43.54
15.12	38.15
6.98	21.60
6.22	33.80
18.42	17.15
40.14	11.52
16.09	45.92
49.81	33.83
41.08	28.55
10.96	35.84
48.90	18.13
3.39	45.40
49.39	14.78
1.44	30.15
31.54	15.74
49.36	40.35
36.77	33.38
43.71	1.28
5.45	42.93
16.55	29.07
45.09	38.98
22.80	18.34
15.09	34.95
41.43	12.42
19.50	49.69
24.28	2.78
23.40	13.76
34.97	26.82
43.05	2.56
39.21	5.69
48.24	16.94
40.87	19.36
25.31	1.81
8.16	34.64
10.26	8.77
24.60	13.73
42.62	49.65
31.72	16.68
16.36	23.64
11.65	29.22
37.86	7.06
42.87	41.10
5.26	31.72
16.63	22.97
45.14	8.00
48.99	44.00
9.40	44.13
13.89	15.91
27.61	20.68
32.93	25.37
31.17	44.24
18.99	35.83
20.28	17.12
36.13	32.06
32.63	23.57
45.63	36.90
1.85	3.87
3.74	15.94
42.59	24.33
19.35	11.37
16.98	25.25
48.37	22.85
30.50	3.58
43.10	41.76
4.30	47.63
30.30	11.15
44.29	48.74
42.97	43.17
24.62	1.98
27.33	11.62
32.59	15.69
45.41	48.76
36.89	21.73
38.28	38.26
25.10	19.77
3.49	17.95
28.19	43.83
43.08	30.77
7.04	28.82
21.90	13.22
38.10	45.99
11.43	36.20
7.84	27.86
37.24	45.04
35.50	12.35
12.97	34.37
36.98	40.96
5.79	3.18
24.77	5.90
0.52	29.52
23.56	43.53
22.19	5.21
26.57	43.61
45.40	9.49
10.29	26.06
4.79	0.17
18.81	25.86
6.01	28.70
12.12	38.32
32.52	2.87
42.56	21.30
7.22	45.03
41.62	25.17
26.86	2.86
2.36	14.46
15.29	25.63
30.61	27.36
38.53	21.02
48.69	14.48
37.21	1.28
10.61	39.17
26.47	41.11
12.28	49.11
15.02	17.08
42.57	33.63
5.04	30.98
6.63	34.91
37.78	13.68
5.07	40.94
48.86	30.24
27.53	14.96
8.75	46.95
37.82	45.91
30.53	4.17
43.30	18.79
10.36	25.30
0.34	15.27
0.29	23.10
46.34	1.53
49.87	46.19
17.54	36.88
37.91	42.42
7.98	11.93
45.39	27.23
37.25	43.44
19.29	31.31
12.58	2.50
22.38	22.15
30.60	32.79
20.21	49.64
28.73	36.60
46.89	42.44
22.61	8.85
17.42	22.68
26.00	12.27
26.28	22.56
43.35	24.50
13.78	41.80
36.66	13.71
25.59	29.97
18.06	19.65
8.38	21.01
28.28	12.87
39.91	13.50
17.45	7.29
11.73	47.99
6.94	21.81
39.91	34.05
7.65	20.41
37.84	26.28
33.39	42.36
1.30	47.16
19.66	21.53
37.87	19.66
32.96	27.16
29.05	21.23
5.27	14.41
4.08	14.22
43.64	11.90
15.04	24.70
12.98	17.42
45.32	30.14
4.97	25.44
36.75	35.70
6.24	25.50
3.64	36.35
33.56	33.52
8.70	18.74
4.15	43.78
28.37	0.94
24.67	42.80
38.07	38.58
2.62	35.95
6.24	12.36
33.89	8.48
46.09	28.90
2.34	38.40
22.35	13.48
29.05	47.13
24.74	41.88
34.11	15.53
25.65	2.74
8.97	2.26
6.36	44.23
36.39	12.89
26.79	11.57
37.40	15.35
46.50	23.05
42.25	10.07
26.20	20.51
23.12	9.09
5.47	17.35
36.44	9.16
46.96	1.55
9.10	4.76
45.70	43.64
22.99	5.44
34.35	5.78
17.23	37.58
11.69	3.33
29.58	19.72
41.34	35.92
49.04	36.81
26.32	43.73
26.68	27.33
15.58	21.50
16.27	20.70
29.65	43.38
27.93	32.25
6.84	34.07
1.42	1.95
18.14	48.42
31.17	3.94
46.96	17.74
36.05	24.52
6.97	22.02
31.69	30.41
33.51	15.03
