3.47	4.86
1.17	-2.98
-9.20	-0.58
3.40	0.04
-7.81	4.45
0.21	-2.26
-0.14	3.86
-5.23	4.72
-6.98	-6.03
-7.69	-4.34
8.44	-0.59
4.87	-6.56
-0.25	-0.46
-5.79	-2.59
5.92	0.16
7.00	-5.08
-5.75	5.28
7.40	1.62
-1.48	6.01
6.80	0.25
7.39	-5.41
-2.68	0.74
4.36	8.03
-7.50	3.61
6.58	7.21
-9.66	-0.15
-5.08	3.48
3.73	3.85
3.15	6.93
-9.27	1.98
7.75	-6.21
1.23	-2.31
-0.10	-5.17
8.12	-3.92
0.02	5.38
6.12	5.45
-0.42	5.38
-5.27	0.70
-3.27	-1.96
-0.57	-0.81
3.58	-4.73
-7.19	2.75
5.48	2.47
5.55	-1.42
-8.26	-3.69
-0.01	2.69
6.85	-6.88
3.79	-1.25
-0.56	-6.49
-7.51	-0.45
