10.80	-14.65
46.25	-3.72
6.04	-10.96
43.54	-20.05
39.61	-16.89
-41.45	-22.02
-29.43	-6.05
-45.55	-13.56
-5.16	-7.92
-17.56	26.63
-5.84	-36.30
-32.89	-2.15
2.23	41.12
21.69	12.57
-23.55	27.75
4.90	42.30
24.69	1.72
-14.18	37.77
28.54	29.34
0.74	-16.45
-3.02	38.85
3.31	44.47
-2.69	39.26
-11.95	-18.59
-5.52	-5.85
13.88	-25.00
9.65	-26.07
-5.44	-41.81
38.71	15.07
2.20	25.68
5.18	-1.50
-13.15	19.66
-11.85	39.18
-2.80	7.53
21.98	-33.96
31.97	-25.52
9.79	-42.69
-1.82	22.29
40.54	-10.58
-13.93	-30.74
-1.66	-34.84
-4.33	26.32
-41.95	19.54
22.82	22.33
34.20	2.14
-3.82	-18.34
28.24	-4.80
24.69	-16.93
-31.74	8.00
-21.75	-22.43
-2.50	-38.36
-28.18	-20.23
14.65	-21.59
3.87	-0.14
6.18	32.94
29.49	-13.29
11.08	-25.75
-8.55	37.91
20.81	21.38
-26.93	6.04
32.47	29.54
-24.61	43.20
38.63	-20.56
14.23	-5.87
22.30	41.42
-27.27	-5.39
-7.09	12.90
-0.47	37.10
33.33	-4.71
35.32	14.13
-10.82	-10.15
1.51	-5.46
9.24	21.96
-35.12	-3.10
-42.79	-20.79
2.41	25.15
-7.65	-14.53
2.14	-10.02
-12.50	-41.74
26.94	-15.33
5.26	10.54
42.43	15.01
-9.65	-46.78
24.23	10.21
25.61	-5.99
-7.07	37.70
28.12	-24.57
-25.84	-29.44
-5.31	-26.05
-17.29	-7.29
-36.44	24.70
-4.19	4.93
-14.38	38.18
-1.07	-23.02
-36.45	3.94
-4.27	39.31
-18.41	-37.40
26.51	10.35
-34.41	-17.18
17.27	18.33
